,ELM_prediction,ELM_real,Linear_prediction,Linear_real,KNN_prediction,KNN_real,DecisionTree_prediction,DecisionTree_real,SVR_prediction,SVR_real,RandomForest_prediction,RandomForest_real
41,20.67189108248839,15.0,27.242134648038547,15.0,20.66,15.0,22.0925,15.0,88.18081954238772,15.0,19.980693069306817,15.0
42,24.856012670982512,17.7,24.410753707795806,17.7,24.54,17.7,25.009473684210533,17.7,-5.464524312002684,17.7,25.37039603960402,17.7
43,6.474608137913108,7.0,4.015192860789188,7.0,6.2,7.0,4.121951219512195,7.0,-48.00733099606299,7.0,4.385148514851485,7.0
44,21.651412056662476,20.7,32.50618534229216,20.7,21.28,20.7,21.55,20.7,-207.50080358984036,20.7,21.989306930693207,20.7
45,5.4395671797497585,5.0,3.8998635264543626,5.0,5.4,5.0,5.447368421052632,5.0,80.11361942902488,5.0,5.893564356435643,5.0
46,18.065713418305208,18.0,19.018445898701895,18.0,21.0,18.0,18.5,18.0,37.98422435314313,18.0,19.775148514851498,18.0
47,5.297854115939206,5.0,2.1864417509531044,5.0,5.6,5.0,5.664383561643835,5.0,57.44853169219329,5.0,5.53960396039604,5.0
48,15.089580181838512,9.0,10.346666167865289,9.0,13.2,9.0,15.218,9.0,26.065239791662176,9.0,16.002475247524753,9.0
49,16.14783910216113,16.5,16.342017225209858,16.5,17.2,16.5,16.968674698795184,16.5,9.677489098736178,16.5,15.829009900990098,16.5
50,9.544440279044238,19.0,8.034740639379573,19.0,11.4,19.0,10.541666666666666,19.0,-28.847662941615475,19.0,10.373762376237623,19.0
51,7.559143559213833,4.0,3.833186188716871,4.0,6.6,4.0,7.838983050847458,4.0,55.32593965294605,4.0,7.6099009900990096,4.0
52,18.81395811428412,20.0,20.586151893443137,20.0,17.06,20.0,18.151515151515152,20.0,58.04437076653338,20.0,19.328316831683164,20.0
53,20.59068488085706,27.0,22.471163276500963,27.0,21.0,27.0,20.443835616438356,27.0,36.10912592346631,27.0,20.164851485148514,27.0
54,9.046682669754524,9.0,10.473556840640173,9.0,9.2,9.0,8.583333333333334,9.0,1.3531219508190588,9.0,8.664554455445545,9.0
55,3.228956811026727,1.0,5.1764722813722965,1.0,2.6,1.0,2.746376811594203,1.0,43.985334251112036,1.0,2.658910891089109,1.0
56,3.5797304583561527,3.0,3.5592356179917637,3.0,3.2,3.0,4.121951219512195,3.0,-40.07856337512493,3.0,3.4054455445544556,3.0
57,15.766707241503156,17.0,12.679943428490793,17.0,16.4,17.0,15.545714285714283,17.0,-4.035509080594554,17.0,17.27039603960383,17.0
58,21.682117662486338,23.3,32.455930641649495,23.3,20.68,23.3,21.55,23.3,-222.27765279239674,23.3,21.854455445544723,23.3
59,6.525872725784854,5.0,4.8752177811584865,5.0,7.2,5.0,4.792307692307692,5.0,-35.551110322424776,5.0,4.4445544554455445,5.0
60,15.898525276724051,15.0,17.638537280031606,15.0,17.0,15.0,16.968674698795184,15.0,13.883774286453278,15.0,15.768019801980198,15.0
61,9.782589453176254,8.0,7.953632711686087,8.0,11.4,8.0,10.541666666666666,8.0,-27.532705965545304,8.0,10.193069306930694,8.0
62,14.34251675674534,13.0,16.83444097618378,13.0,12.1,13.0,12.356666666666667,13.0,3.6987545039014442,13.0,12.839801980198027,13.0
63,32.01133008974804,43.0,29.936490130767645,43.0,32.2,43.0,28.931958762886605,43.0,-30.801623251319228,43.0,35.24514851485148,43.0
64,16.34352834854604,18.0,22.667629101750986,18.0,16.0,18.0,23.93623188405797,18.0,-153.78965212456723,18.0,18.674950495049504,18.0
65,25.10071824532022,20.0,25.983573933171655,20.0,24.54,20.0,23.93623188405797,20.0,-68.6069971342132,20.0,25.49514851485139,20.0
66,8.981444509699287,8.0,10.221143643323085,8.0,8.1,8.0,8.583333333333334,8.0,34.783077577384,8.0,7.514356435643564,8.0
67,49.563386965142236,46.0,40.474476930302416,46.0,45.56,46.0,40.475,46.0,75.91925427800136,46.0,44.79435643564357,46.0
68,11.718786406638884,10.0,13.916618073999484,10.0,8.8,10.0,14.225641025641025,10.0,92.36157986109374,10.0,12.178415841584158,10.0
69,18.58386254041801,22.0,17.28305905885847,22.0,19.2,22.0,18.151515151515152,22.0,28.31240957434781,22.0,17.996831683168313,22.0
70,5.198335444654468,7.5,4.913252277167992,7.5,4.4,7.5,5.447368421052632,7.5,57.610240460142414,7.5,4.855940594059406,7.5
71,10.112821617421353,10.5,12.370329721257054,10.5,12.2,10.5,10.961538461538462,10.5,194.40715835086934,10.5,8.943564356435644,10.5
72,19.5870483798706,23.0,18.972117558323077,23.0,18.34,23.0,20.443835616438356,23.0,33.31145659242132,23.0,19.14861386138619,23.0
73,18.479891812487406,20.0,15.78629268282318,20.0,14.74,20.0,15.50108695652174,20.0,23.372156002039464,20.0,15.901584158415865,20.0
74,2.0031700300113613,3.0,3.0220624750660026,3.0,4.6,3.0,2.746376811594203,3.0,-26.657269581883654,3.0,2.988613861386139,3.0
75,11.18263923114139,10.0,7.380169928605056,10.0,9.4,10.0,10.166666666666666,10.0,-22.620277452115438,10.0,10.638118811881188,10.0
76,19.969821672321373,23.0,20.382966663316367,23.0,22.8,23.0,18.873809523809523,23.0,3.701730364683968,23.0,20.80841584158416,23.0
77,12.802974528843254,15.0,13.460570172199297,15.0,15.0,15.0,12.674725274725274,15.0,40.82784631045916,15.0,14.35663366336633,15.0
78,31.797120564996575,26.0,27.395003367219807,26.0,27.860000000000003,26.0,33.889655172413796,26.0,55.30970902401168,26.0,32.4959405940594,26.0
79,30.01540204311363,29.0,31.954025159879656,29.0,33.8,29.0,31.99375,29.0,-125.6907473877272,29.0,32.98059405940589,29.0
80,12.59308080600862,10.0,12.137287957669948,10.0,13.4,10.0,10.344615384615384,10.0,42.058978874514395,10.0,12.97138613861386,10.0
81,21.603194039641316,18.0,23.62374097635372,18.0,20.82,18.0,20.061666666666667,18.0,-58.27576450168088,18.0,20.73504950495047,18.0
82,2.4384280281392563,1.0,4.828561465377016,1.0,2.8,1.0,2.746376811594203,1.0,39.06287401664616,1.0,2.6683168316831685,1.0
83,15.205431900743918,18.0,20.49849811211162,18.0,17.0,18.0,16.53846153846154,18.0,-88.83896741797298,18.0,17.82445544554455,18.0
84,22.33404743866145,17.7,23.88047628152783,17.7,22.94,17.7,28.931958762886605,17.7,47.86678526128084,17.7,21.10910891089114,17.7
85,16.06821136649186,18.0,21.21620160852664,18.0,12.9,18.0,38.0,18.0,-15.893398517352054,18.0,23.024158415841576,18.0
86,12.341423002727645,11.3,12.32653311583486,11.3,12.38,11.3,10.344615384615384,11.3,46.58372073823155,11.3,13.07455445544553,11.3
87,3.705773525513113,4.0,4.184690314432334,4.0,6.0,4.0,7.838983050847458,4.0,-23.594169946419207,4.0,6.332178217821782,4.0
88,15.26819622171703,16.0,14.062114024996813,16.0,14.4,16.0,15.50108695652174,16.0,43.13166595287045,16.0,15.432475247524744,16.0
89,18.70883769926374,18.0,18.616011667992833,18.0,16.4,18.0,16.968674698795184,18.0,52.77408360875369,18.0,14.444851485148513,18.0
90,10.0663485664526,12.5,11.208227008610356,12.5,10.319999999999999,12.5,11.122222222222222,12.5,-0.15289183523499972,12.5,9.787326732673268,12.5
91,61.69384918767508,56.0,49.336003842716295,56.0,59.8,56.0,45.55733333333334,56.0,113.78045816441359,56.0,57.027524752475266,56.0
92,37.2919776365528,38.0,28.364165055775146,38.0,36.06,38.0,33.889655172413796,38.0,42.26572357724196,38.0,36.07752475247525,38.0
93,14.552888625012578,16.5,13.747664778657633,16.5,13.7,16.5,15.545714285714283,16.5,-15.572560010738584,16.5,15.300495049504946,16.5
94,47.78706448882981,46.0,42.297741065501526,46.0,46.8,46.0,45.55733333333334,46.0,129.5842699138995,46.0,48.79089108910888,46.0
95,18.49643188320775,23.0,19.58715304105995,23.0,20.5,23.0,18.873809523809523,23.0,3.8458609093155722,23.0,20.954158415841587,23.0
96,20.608374865761142,19.7,20.666775076682903,19.7,19.2,19.7,18.873809523809523,19.7,4.143827846152526,19.7,19.297722772277268,19.7
97,13.490509223192397,15.0,13.89661355880271,15.0,12.86,15.0,14.225641025641025,15.0,91.53385898588122,15.0,13.899207920792005,15.0
98,2.8728268714955334,2.0,-1.0528159046303145,2.0,2.8,2.0,2.746376811594203,2.0,130.2407321463076,2.0,2.2163366336633663,2.0
99,10.327092909884755,12.0,9.919013645891397,12.0,12.7,12.0,9.728813559322035,12.0,25.844693302574857,12.0,11.336237623762377,12.0
100,16.689508236619506,29.0,20.170323455033596,29.0,17.8,29.0,14.634848484848485,29.0,3.722942859377593,29.0,18.893168316831684,29.0
101,10.10199874413518,9.0,9.240627195999362,9.0,9.0,9.0,9.728813559322035,9.0,52.41338163164887,9.0,9.177722772277228,9.0
102,12.510393165685485,7.0,14.317571216753933,7.0,8.5,7.0,12.356666666666667,7.0,-0.9127823607336545,7.0,11.093069306930696,7.0
103,14.461089310532081,18.5,16.120380716785963,18.5,15.0,18.5,14.225641025641025,18.5,4.9803483727025935,18.5,14.17425742574257,18.5
104,39.13181375268918,43.0,37.37250756455478,43.0,34.260000000000005,43.0,35.87924528301887,43.0,-81.69331203135499,43.0,36.02584158415842,43.0
105,13.831942862636463,18.7,14.386568322359686,18.7,14.0,18.7,12.674725274725274,18.7,38.225688522640624,18.7,13.974455445544487,18.7
106,17.130409162865007,26.0,18.799893209909804,26.0,15.5,26.0,18.873809523809523,26.0,4.137964047877652,26.0,16.96019801980201,26.0
